scenario,animal_id,session_id,session,group,timepoint,abf_file,wmv_file,abf_path,wmv_path,abf_gb,wmv_gb
A,16657,16657,,WT,6m,21703005.abf,Video 6629.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\21703005.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\Video 6629.wmv,0.134,0.658
A,16657,16657,,WT,6m,21703006.abf,Video 6630.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\21703006.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16657_02Jul21_6mon_Baseline\Video 6630.wmv,0.134,0.462
A,16658,16658,,WT,6m,21702007.abf,Video 9493.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\21702007.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\Video 9493.wmv,0.134,0.577
A,16658,16658,,WT,6m,21702008.abf,Video 9495.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\21702008.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\Video 9495.wmv,0.134,0.68
A,16658,16658,,WT,6m,21702009.abf,Video 9497.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\21702009.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\Video 9497.wmv,0.134,0.79
A,16658,16658,,WT,6m,21702010.abf,Video 9499.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\21702010.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\Video 9499.wmv,0.134,0.819
A,16658,16658,,WT,6m,21702011.abf,Video 9501.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\21702011.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\Video 9501.wmv,0.134,0.747
A,16658,16658,,WT,6m,21702012.abf,Video 9503.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\21702012.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\Video 9503.wmv,0.134,0.814
A,16658,16658,,WT,6m,21703000.abf,Video 9505.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\21703000.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\Video 9505.wmv,0.134,0.978
A,16658,16658,,WT,6m,21703001.abf,Video 9507.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\21703001.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\Video 9507.wmv,0.134,0.96
A,16658,16658,,WT,6m,21703002.abf,Video 9509.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\21703002.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\Video 9509.wmv,0.134,0.761
A,16658,16658,,WT,6m,21703003.abf,Video 9511.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\21703003.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\Video 9511.wmv,0.134,0.948
A,16658,16658,,WT,6m,21703004.abf,Video 9513.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\21703004.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\Video 9513.wmv,0.134,0.943
A,16658,16658,,WT,6m,21703005.abf,Video 9515.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\21703005.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\Video 9515.wmv,0.134,0.656
A,16658,16658,,WT,6m,21703006.abf,Video 9517.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\21703006.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\Video 9517.wmv,0.134,0.769
A,16658,16658,,WT,6m,21703007.abf,Video 9519.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\21703007.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\WT\16658_02Jul21_6mon_Baseline\Video 9519.wmv,0.134,0.803
A,16571,16571,,KO,6m,21705001.abf,Video 9547.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\KO\16571_05Jul21_6mon_Baseline\21705001.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\KO\16571_05Jul21_6mon_Baseline\Video 9547.wmv,0.134,0.429
A,16571,16571,,KO,6m,21705002.abf,Video 9549.wmv,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\KO\16571_05Jul21_6mon_Baseline\21705002.abf,F:\EEG\Baseline (24hrs)_6monthsold_20mgkgKA_Rx\KO\16571_05Jul21_6mon_Baseline\Video 9549.wmv,0.134,0.403
