animal_id,session_id,group,timepoint,wake_bp_delta,wake_bp_theta,wake_bp_alpha,wake_bp_beta,wake_bp_gamma,wake_n_epochs,nrem_bp_delta,nrem_bp_theta,nrem_bp_alpha,nrem_bp_beta,nrem_bp_gamma,nrem_n_epochs,rem_bp_delta,rem_bp_theta,rem_bp_alpha,rem_bp_beta,rem_bp_gamma,rem_n_epochs,all_bp_delta,all_bp_theta,all_bp_alpha,all_bp_beta,all_bp_gamma,all_n_epochs
16572,165722,WT,3m,0.17809378991661892,0.21538720399054745,0.18842273253534128,0.2024534486267558,0.12127065616420205,1241,0.24176949048614044,0.2089655568133252,0.17598272000986648,0.18971486276550775,0.1019654436239383,387,0.07028568545636789,0.3579059060668367,0.20384454681576167,0.20066577388728457,0.11033665419249743,172.0,0.18148240222397538,0.22762500360140117,0.18722176987360437,0.1995438304137047,0.11607523083519357,1800
16572,165722,WT,3m,0.19072240395943021,0.2210419511812544,0.18939500756063557,0.20168609864224107,0.11271141385132048,1109,0.21483435923055547,0.22415493255929303,0.19099896532595106,0.19736351361310703,0.09789078872328337,383,0.0675662410532338,0.3502544606545838,0.20807924642254466,0.20759014375598883,0.11015942259957535,171.0,0.18361186578256997,0.2350453251967253,0.19168563935227856,0.2012976690861933,0.10903571335337302,1663
16594,165941,WT,3m,0.46675206243787537,0.2081297238915229,0.15913027018987014,0.08255588434206373,0.021091853921126957,1115,0.5956577873614349,0.1441561629006125,0.12831991711296786,0.05810606797740171,0.014440762569036474,531,0.2898343867306305,0.34081283813648056,0.230973274706253,0.08256407237289341,0.01952024345423584,154.0,0.4896429612575945,0.20060930095127294,0.15618778419636337,0.07534388904601498,0.01899532196564847,1800
16594,165941,WT,3m,0.46426536935186424,0.21837986840223428,0.1488375948339884,0.0810745309392961,0.022558956954324763,1081,0.6040932832836775,0.1545739686592349,0.11882803477875103,0.0547266921421405,0.014089956257800944,540,0.279585182003488,0.3794269463263843,0.20688737199277638,0.0805078674872919,0.020586159596487113,179.0,0.487848324900653,0.21525333567290272,0.14560745465709665,0.07311382776797788,0.019822073008115983,1800
16594,165941,WT,3m,0.4870393995699334,0.18574854939959762,0.1434522058921018,0.07992186562262917,0.030058230010685704,1077,0.6483194872757111,0.12707988290940184,0.10650335956191215,0.046392775244950765,0.01142008643014806,558,0.34636447365900863,0.33995799022566947,0.19119738881549028,0.07327529066731762,0.017316878669959592,165.0,0.5241410252168897,0.1816971281966935,0.1363747052977203,0.0689185782346453,0.023112448294485808,1800
16594,165941,WT,3m,0.47317316215589567,0.18242901568297154,0.1464342807256053,0.08913939247374855,0.03348577668129343,1050,0.6454822312124449,0.1322956292153198,0.10337204951361852,0.04930361902831747,0.010980259662175123,563,0.33098331026450833,0.3354494329942676,0.1946165721619333,0.08148939815415124,0.02105078773305727,187.0,0.5122956641420888,0.18264552760292954,0.13797097646240797,0.07588489836955833,0.02515469389513578,1800
16594,165941,WT,3m,0.4661105637788192,0.17719335305550024,0.14639641070637005,0.09288508237711506,0.03464388126881478,1034,0.6455724548764795,0.12487904692944417,0.10842879651563095,0.04808465135664763,0.01032943969778744,574,0.334683417123877,0.3476709591246922,0.18222427138704625,0.07988243983598638,0.018824423822221843,192.0,0.509320071185657,0.17869518008268281,0.13811059887592872,0.0772117741695345,0.025202867217972814,1800
16594,165941,WT,3m,0.45216201879295476,0.20257954689515437,0.16360938444538584,0.09217780956728935,0.02819089077948374,1055,0.5986097195433954,0.1685900570713739,0.1224650002065796,0.05727400091947253,0.012460748049464478,542,0.27254873936481366,0.37688986102819516,0.20484670038451955,0.08408186249690375,0.02122957199124472,203.0,0.47600266217230264,0.21200326371988673,0.15587100604439202,0.08075484204373103,0.022669287960770987,1800
16594,165942,WT,3m,0.46239181984073113,0.21140854934207112,0.15456449667689298,0.08316969992627184,0.027289425935436783,984,0.5907449867032769,0.1709211769741558,0.12357213121960334,0.05862460896325921,0.013529710761851327,525,0.2536098938368467,0.4100399688426722,0.1889208912342546,0.07530298779840267,0.023887964293995336,291.0,0.4660750821383456,0.23171181188735962,0.1510793405386236,0.07473892993472096,0.02272627271110799,1800
16594,165942,WT,3m,0.45893811375490673,0.23538632224649822,0.15230588389728436,0.0827376705102053,0.021680873306971576,997,0.5812031655765002,0.18466293005898574,0.12032157012543884,0.06080114025632878,0.013563213745096071,550,0.24247201456071305,0.4285092971027528,0.17915393173964905,0.0768913754662991,0.024046140458818067,253.0,0.46587136675809865,0.24703201498844296,0.1463065414137306,0.07521311257368286,0.019532928768296928,1800
