feature,timepoint,tp_x,wt_mean,wt_sem,ko_mean,ko_sem,cohens_d,pval,n_wt,n_ko,scenario,pval_fdr,sig
nrem_rbp_gamma,9m,9,0.07369988561959885,0.015534649562667128,0.05401133260468094,0.014261482510724427,-0.5855033340096832,0.47619047619047616,6,4,A_animal,1.0,ns
nrem_td_ratio,9m,9,1.3074703464564659,0.17769274128300086,1.6168328285936946,0.12063142139003384,0.8791403140999376,0.11428571428571428,6,4,A_animal,1.0,ns
nrem_theta_alpha,9m,9,2.5669165768110407,0.1537979183675273,2.7622091868312095,0.11527353305183673,0.6253170640518941,0.2571428571428571,6,4,A_animal,1.0,ns
nrem_theta_beta,9m,9,2.7571964286784234,0.28354277136973854,3.159298593321211,0.41665358887295484,0.5242081794760387,0.47619047619047616,6,4,A_animal,1.0,ns
nrem_slow_fast,9m,9,3.708355832475579,0.682851320907373,3.9825317657627783,0.6801034912155308,0.1798526911479243,0.7619047619047619,6,4,A_animal,1.0,ns
nrem_high_freq_idx,9m,9,0.2136799600680034,0.02567346800151805,0.19355514686616052,0.03043014982314215,-0.3252132627391837,0.7619047619047619,6,4,A_animal,1.0,ns
nrem_spectral_entropy,9m,9,0.884672845164646,0.02133280471245578,0.869069861066476,0.019881453404082785,-0.3360488470745072,0.9142857142857143,6,4,A_animal,1.0,ns
nrem_ap_exp,9m,9,1.6769832800007183,0.15549945588537475,1.750349116858511,0.14091566167156144,0.218973534565048,0.6095238095238095,6,4,A_animal,1.0,ns
nrem_total_var,9m,9,0.007536330192166475,0.0034725808033927727,0.011644921805507502,0.009282889539967521,0.2845237096515375,0.9142857142857143,6,4,A_animal,1.0,ns
nrem_rms,9m,9,0.08025872849362946,0.017633762082168453,0.09975199225347106,0.04941312425969896,0.2556032040172051,0.9142857142857143,6,4,A_animal,1.0,ns
nrem_p2p,9m,9,0.5649996211548489,0.15732109552922197,0.6169549422090754,0.30759339932934837,0.10121818129709961,0.9142857142857143,6,4,A_animal,1.0,ns
nrem_zcr,9m,9,0.10188797123794646,0.010132966093644061,0.07728527193205302,0.01063070487071732,-1.0646082215392563,0.17142857142857143,6,4,A_animal,1.0,ns
nrem_coeff_var,9m,9,81.60310092264659,36.14084746030896,26.143865597965323,20.349187419081883,-0.8049701012635173,0.7619047619047619,6,4,A_animal,1.0,ns
nrem_hjorth_mob,9m,9,0.3205838656650751,0.03236397852603619,0.24541280776769414,0.03487144050808511,-1.0068270250452707,0.17142857142857143,6,4,A_animal,1.0,ns
nrem_hjorth_comp,9m,9,4.125478596340986,0.5081678061010251,4.4381292057483,0.36940918377123444,0.30546070368006417,0.47619047619047616,6,4,A_animal,1.0,ns
nrem_lzc,9m,9,0.05006579121462664,0.00031624306601650917,0.05027541197814469,0.00019237174609576998,0.342701178529805,0.6095238095238095,6,4,A_animal,1.0,ns
all_bp_delta,9m,9,0.09354765211158082,0.044345271587374765,0.11093529320656713,0.04433478902041665,0.17536761964473915,0.7619047619047619,6,4,A_animal,1.0,ns
all_bp_theta,9m,9,0.020187952620182897,0.008929191225126074,0.02413309187719208,0.00975261242730149,0.1903803102050491,0.6095238095238095,6,4,A_animal,1.0,ns
all_bp_alpha,9m,9,0.010642740016158107,0.004767798865429553,0.012052815827799102,0.004993171177615428,0.12977537625756974,1.0,6,4,A_animal,1.0,ns
all_bp_beta,9m,9,0.01128221069657335,0.005179391908861873,0.013104112166390437,0.0047211437179347894,0.16291881197528776,0.2571428571428571,6,4,A_animal,1.0,ns
all_bp_gamma,9m,9,0.006687999254541273,0.002930202227341309,0.021361309385527397,0.016004588008125112,0.6325807323175139,0.35238095238095235,6,4,A_animal,1.0,ns
all_rbp_delta,9m,9,0.39235120197676004,0.035295530339521757,0.36035312196954933,0.026054332304559277,-0.44828342391361553,0.35238095238095235,6,4,A_animal,1.0,ns
all_rbp_theta,9m,9,0.27184676513580436,0.005344080435267485,0.3001824515739121,0.005399306831273588,2.361448930341315,0.01904761904761905,6,4,A_animal,1.0,*
all_rbp_alpha,9m,9,0.13845533821288217,0.01106431540511217,0.14562348996796493,0.004885496197364749,0.3518734979622772,0.47619047619047616,6,4,A_animal,1.0,ns
all_rbp_beta,9m,9,0.12824731831638764,0.013234856770400965,0.1316941203506813,0.018321295501880955,0.09963253274797175,0.9142857142857143,6,4,A_animal,1.0,ns
all_rbp_gamma,9m,9,0.06909937582008487,0.013556187529559002,0.062146814404187345,0.01662154599293763,-0.20926055594209764,0.6095238095238095,6,4,A_animal,1.0,ns
all_td_ratio,9m,9,0.9121962838297835,0.12745745100454245,1.0687603404590422,0.07179003265424853,0.6443247741929343,0.11428571428571428,6,4,A_animal,1.0,ns
all_theta_alpha,9m,9,2.3629753162161324,0.15127694468414782,2.443658096248107,0.12853713555925797,0.25300273678585744,0.7619047619047619,6,4,A_animal,1.0,ns
all_theta_beta,9m,9,2.685335716521171,0.27804332819322913,2.793886917976363,0.40496799809645295,0.1450676913477203,0.7619047619047619,6,4,A_animal,1.0,ns
all_slow_fast,9m,9,1071.616597871455,1065.3959158177984,348.6163830727452,342.146224615092,-0.3789897825805066,0.9142857142857143,6,4,A_animal,1.0,ns
